Column name,Data type,Responses,Justification
,,Final weight (FW),Weight of animals recorded at the conclusion of the experimental period.
,,Final shell length (FSL),Shell length of animals recorded at the conclusion of the experimental period.
,,Ingested feed energy and/or mass specific feed energy (I),The total amount of dietary energy consumed by the abalone over the experimental period relative to it's mass.
,,Protein efficiency ratio (PER),A measure of how efficiency dietary protein is converted into biomass.
,,Protein deposition (PD),A measure of how much dietary protein is assimilated into body tissue.
,,Somatic growth energy (Pg),The amount of absorbed energy that is allocated to building soft body tissue of the abalone.
,,Shell gain (SG),The percentage increase in shell length over a period.
,,Shell growth energy (S),The amount of absorbed energy that is allocated to building the abalone shell.
,,Specific growth rate (SGR),"The rate of growth over time, expressed as a percentage of body weight per day."
,,Weight gain (WG),The percentage increase in whole body mass over a period.
outcome_category,Categorical,Feed behaviour,A measurement of how the abalone interacts with feed (i.e. feed intake).
,,Growth performance,"Any outcome which measures the growth of the abalone (e.g. weight gain, shell length gain)."
,,Nutrient utilisation,"Any measure which investigates utilisation of feed nutrients (i.e. SGR, FCR)"
study_conditions,Categorical,Basal,"The study assesses performance or physiological response under normal, non-stressful conditions, which are intended to reflect “optimal” husbandry."
,,Challenge,The experiment manipulates the environment to test the animals' tolerance and resilience under suboptimal conditions.
challenge_category,Categorical,Air challenge,Any challenge conditions which expose abalone to air. 
,,Bacteria challenge,Any challenge conditions which expose abalone to pathogenic bacteria species.
,,Salinity challenge,Any challenge conditions which expose abalone to sub-optimum salinity levels. The article must disclose that the salinity is considered a challenge condition.
,,Thermal challenge,Any challenge conditions which expose abalone to sub-optimum water temperatures. The article must disclose that the water temperature is considered a challenge condition.
,,Other,Any other condition which does not fit definitions of the above categories but could reasonably be considered a challenge condition.
water_temperature,numerical,NA,Reported average water temperature of experimental conditions.
treatment_mean,numerical,NA,"Mean outcome measure (defined in ""outcome"") for treatment group (defined in ""treatment_name"")."
treatment_SE,numerical,NA,"Standard error for outcome measure (defined in ""outcome"") for treatment group (defined in ""treatment_name"")."
treatment_SD,numerical,NA,"Standard deviation for outcome measure (defined in ""outcome"") for treatment group (defined in ""treatment_name"")."
treatment_n,numerical,NA,"Sample size of treatment group (defined in ""treatment_name"")."
treatment_n_description,Categorical,Abalone,Replicates are represented by individual abalone (e.g. 1 abalone = 1 replicate). 
,,Tank,Replicates are represented by tank containing X abalone (e.g. 30 abalone stocked in 4 different tanks = 4 replicates). 
control_mean,numerical,NA,"Mean outcome measure (defined in ""outcome"") for control group (defined in ""control_n_description"")."
control_SE,numerical,NA,"Standard error for outcome measure (defined in ""outcome"") for control group (defined in ""control_n_description"")."
control_SD,numerical,NA,"Standard deviation for outcome measure (defined in ""outcome"") for control group (defined in ""control_n_description"")."
control_n,numerical,NA,"Sample size of control group (defined in ""control_n_description"")."
control_n_description,Categorical,Abalone,Replicates are represented by individual abalone (e.g. 1 abalone = 1 replicate). 
,,Tank,Replicates are represented by tank containing X abalone (e.g. 30 abalone stocked in 4 different tanks = 4 replicates). 
units,String (text),NA,Unit reported for outcome measure (e.g. %BW/day). 
data_source,Categorical,Graph,Data was extracted from a graph by metaDigitiser R package. 
,,Text,Data was extracted directly from text. 
,,Table,Data was extracted directly from table. 
proportional_data,Categorical,Yes,Outcome unit is percentage (e.g. % BW)
,,No,Outcome unit is not a percentage (e.g. kg)
Comment,String (text),NA,Any relevant note.
