"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"U7PWBMK5","thesis","2024","Falade, Abiodun Emmanuel","Optimising Integrated Multitrophic Aquaculture (IMTA) on a South African abalone farm","","","","","http://hdl.handle.net/10962/466712","","2024-10-11","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","Rhodes University ; Faculty of Science, Ichthyology and Fisheries Science","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XPE624YE","thesis","2023","Rizzo, Natalie","The Impact of Temperature on the Nutritional Composition of Dulse (Devaleraea mollis) and its Influence on Juvenile Red Abalone (Haliotis rufescens)","","","","","https://escholarship.org/uc/item/72c6h03n","","2023-01-01","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","eScholarship, University of California","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7PJMZZMG","thesis","2006","Laas, André","The use of physiological parameters in the management of the South African abalone (Haliotis midae) aquaculture systems in South Africa","","","","","http://hdl.handle.net/10394/1145","","2006","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","North-West University","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K32QK24Q","thesis","1992","Lleonart, Mark","A gonad conditioning study of the greenlip abalone (Haliotis laevigata)","","","","","https://doi.org/10.25959/23231642.v1","","1992-01-01","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YV9ZXX5V","document","2023","Lleonart, Mark","A gonad conditioning study of the greenlip abalone (Haliotis laevigata) ...","","","","","https://dx.doi.org/10.25959/23231642","The Australian greenlip abalone Haliotis laeviqata is of commercial importance in the abalone diving industry. The species is also believed to have culture potential and accordingly control over reproduction is considered valuable. The major purpose of the study was to accelerate gonad development resulting in spawning outside the natural spawning season. Abalone were collected from Franklin sound in the Furneaux group of islands off the north-east tip of Tasmania. The important features of the conditioning tank were elevated water temperature, the provision of water movement within the tank to distribute feed to sedentary abalone and a diet of preferred red algae. Animals collected on 27 April 1990 were induced to spawn on 21 August 1990, 112 days or 1750 degree days following commencement of gonad conditioning. The natural spawning season of the source population was found to be November to March. A variety of methods for measuring reproductive development of abalone were used. This allowed the utility of ...","2023","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","University Of Tasmania","","","In Copyright ; http://rightsstatements.org/vocab/InC/1.0/","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTZL9IPH","thesis","2016","Suleria, Hafiz Ansar Rasul","Bioactive compounds from Australian Blacklip Abalone (Haliotis rubra) processing waste","","","","","https://espace.library.uq.edu.au/view/UQ:406669","","2016-10-07","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","The University of Queensland, School of Medicine","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XN3QBUM5","thesis","1999","Harris, J. O.","Chronic effects of adverse water quality on the greenlip abalone, Haliotis laevigata Donovan","","","","","https://doi.org/10.25959/23247131.v1","","1999-01-01","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ICQ6U5P8","thesis","1999","Harris, J. O.","Chronic effects of adverse water quality on the greenlip abalone, Haliotis laevigata Donovan","","","","","https://doi.org/10.25959/23233613.v1","","1999-01-01","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6H2JTTAX","thesis","2009","Argumedo Hernández, Uri","Consumo indiscriminado de diatomeas por juveniles de abulón (haliotis spp. Linne 1740) del NW Mexicano","","","","","http://www.repositoriodigital.ipn.mx/handle/123456789/14198","","2009","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","Instituto Politécnico Nacional. Centro Interdisciplinario de Ciencias Marinas","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI39H4D7","thesis","2024","Crimp, James","Effect of macroalgae diet on growth rate and nutrition of the pinto abalone, Haliotis kamtschatkana","","","","","https://hdl.handle.net/11122/15494","","2024-08","2025-10-09 23:52:05","2025-10-09 23:52:05","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6T5NPNT6","thesis","2552","อินทร์นวล, มนตรี","ระดับโปรตีนที่เหมาะสมในอาหารสำเร็จสำหรับเลี้ยงหอยเป๋าฮื้อ Haliotis asinina linnaeus, 1758 ในระบบทดลองทางโภชนาการ ; Optimum protein level of abalone haliotis asinina linnaeus, 1758 ready made diets in nutritional experimental system","","","","","http://cuir.car.chula.ac.th/handle/123456789/16592","","2552","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","จุฬาลงกรณ์มหาวิทยาลัย","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TFNS5X8Q","thesis","","阎希柱","九孔鲍生物能量学的研究 ; A study on the bioenergetics of Haliotis.dlverslcoloraquatilis","","","","","http://dspace.xmu.edu.cn/handle/2288/53282","","17:17:19.0","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94D43Q78","thesis","2005","凌明沛; Ling, Min-Pei","以生物為基礎之整合架構研析水域生態系金屬生物累積及人體健康風險 ; A Biologically-Based Integrated Framework to Assess Metals Bioaccumulation in Aquatic Ecosystems and Human Health Risks","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56134","","2005","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GX5N6LBK","thesis","","涂日炜","皱纹盘鲍对水相和食物相铜和锌的生物累积 ; Bioaccumulation of Haliotis discus hannai to waterborne and dietary copper and zinc","","","","","http://dspace.xmu.edu.cn/handle/2288/53107","","16:39:47.0","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9LJ84TSW","thesis","2005","黃瑞珉; Huang, Jei-Ming","養殖廢污以龍鬚菜充分利用型之循環水系統設計 ; The Design of Aquaculture Waste Reduce for Water Recycling System by Macroalgae, Gracilaria","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56033","","2005","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2CQ9D7XR","thesis","","赵东海","鲍育苗池硅藻的种类多样性及其在鲍早期生长中的作用 ; Studies on the Diatom Species Diversity in Abalone Hatcheries and Its Role in Abalone Early Life","","","","","http://dspace.xmu.edu.cn/handle/2288/47078","","15:33:39.0","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EUP7NB8L","thesis","1999","Harris, J. O.","Chronic effects of adverse water quality on the greenlip abalone, Haliotis laevigata Donovan","","","","","https://doi.org/10.25959/23233613.v1","","1999-01-01","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NG3F996","document","2023","Hindrum, S. M.","Response of blacklip (Haliotis rubra) and greenlip abalone (Haliotis laevigata) to a range of dietary ingredients. Food intake and temporal effects on direct digestibility and consumption. ...","","","","","https://dx.doi.org/10.25959/23221646","No description available ...","2023","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","University Of Tasmania","","","In Copyright ; http://rightsstatements.org/vocab/InC/1.0/","","","","COinS","","","","","","","Marine and estuarine ecology incl. marine ichthyology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PVNEJBLC","thesis","2014","Rousseau, Le-daan Rheeder","The effects of dietary lipids and antioxidants on growth performance, meat quality and moisture loss of the South African abalone, Haliotis Midae","","","","","https://hdl.handle.net/10019.1/86753","","2014-12","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","Stellenbosch : Stellenbosch University","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G53WBQRM","thesis","2024","Lesofe, Ts’olo Ernest","The impact of thermal treatment on comminution performance of blue mussel (Mytilus edulis) and South African abalone (Haliotis midae) shell waste","","","","","https://scholar.sun.ac.za/handle/10019.1/131799","","2024-12","2025-10-09 23:52:18","2025-10-09 23:52:18","","","","","","","","","","","","","Stellenbosch : Stellenbosch University","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EGPJCVTH","thesis","2024","Lesofe, Ts’olo Ernest","The impact of thermal treatment on comminution performance of blue mussel (Mytilus edulis) and South African abalone (Haliotis midae) shell waste","","","","","https://scholar.sun.ac.za/handle/10019.1/131799","","2024-12","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","Stellenbosch : Stellenbosch University","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4D29NKU3","thesis","2013","Gnanalingam, Gayathiri","Using Science and Matauranga to Support Local Management of Blackfoot Paua (Haliotis iris) in the East Otago Taiapure","","","","","http://hdl.handle.net/10523/4286","","2013-09-16","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","University of Otago","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BULSGLIS","thesis","2539","โชคชัยไพศาล, ฐิฏิมา","ระดับและแหล่งของไขมันที่เหมาะสมในอาหารสำเร็จรูป ของหอยเป๋าฮื้อวัยรุ่น Haliotis ovina และHaliotis varia ; Optimal level and source of lipid in artificial diets for juvenile abalone Haliotis ovina and Haliotis varia","","","","","http://cuir.car.chula.ac.th/handle/123456789/35094","","2539","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","จุฬาลงกรณ์มหาวิทยาลัย","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MT6TJ2J8","thesis","2552","อินทร์นวล, มนตรี","ระดับโปรตีนที่เหมาะสมในอาหารสำเร็จสำหรับเลี้ยงหอยเป๋าฮื้อ Haliotis asinina linnaeus, 1758 ในระบบทดลองทางโภชนาการ ; Optimum protein level of abalone haliotis asinina linnaeus, 1758 ready made diets in nutritional experimental system","","","","","http://cuir.car.chula.ac.th/handle/123456789/16592","","2552","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","จุฬาลงกรณ์มหาวิทยาลัย","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UV399YM3","thesis","2005","凌明沛; Ling, Min-Pei","以生物為基礎之整合架構研析水域生態系金屬生物累積及人體健康風險 ; A Biologically-Based Integrated Framework to Assess Metals Bioaccumulation in Aquatic Ecosystems and Human Health Risks","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56134","","2005","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7BTWKD9","thesis","2005","蔡正偉; Tsai, Jeng-Wei","以生物能量及生理為基礎之觀點探討砷毒性對 吳郭魚之毒理動力/動態及作用模態 ; Bioenergetics- and Physiologically-Based Toxicokinetics/Toxicodynamics and Mode of Action of Arsenic Toxicity to Tilapia Oreochromis mossambicus","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56068","","2005","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KAE5ZBB2","thesis","2004","陳柏青; Chen, Bo-Ching","水域生態系中魚介類對金屬傳輸與生物攝取之結構與機制 ; Structure and Mechanism of Fish/Shellfish Involved in Transport and Biouptake of Metals in Aquatic Ecosystems","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/55992","","2004","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GBLZ6KIN","thesis","","涂日炜","皱纹盘鲍对水相和食物相铜和锌的生物累积 ; Bioaccumulation of Haliotis discus hannai to waterborne and dietary copper and zinc","","","","","http://dspace.xmu.edu.cn/handle/2288/53107","","16:39:47.0","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6TRD7962","thesis","2004","曾福生; Tseng, Fu-Shen","豬乳鐵蛋白基因轉殖草蝦可行性及基因表現研究 ; Transgenic Tiger Shrimp (Penaeus monodon) by Electroporation with Reporter and Porcine Lactoferrin Gene","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56746","","2004","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C97Y5UEK","document","2023","Lleonart, Mark","A gonad conditioning study of the greenlip abalone (Haliotis laevigata) ...","","","","","https://dx.doi.org/10.25959/23231642","The Australian greenlip abalone Haliotis laeviqata is of commercial importance in the abalone diving industry. The species is also believed to have culture potential and accordingly control over reproduction is considered valuable. The major purpose of the study was to accelerate gonad development resulting in spawning outside the natural spawning season. Abalone were collected from Franklin sound in the Furneaux group of islands off the north-east tip of Tasmania. The important features of the conditioning tank were elevated water temperature, the provision of water movement within the tank to distribute feed to sedentary abalone and a diet of preferred red algae. Animals collected on 27 April 1990 were induced to spawn on 21 August 1990, 112 days or 1750 degree days following commencement of gonad conditioning. The natural spawning season of the source population was found to be November to March. A variety of methods for measuring reproductive development of abalone were used. This allowed the utility of ...","2023","2025-10-09 23:52:27","2025-10-09 23:52:27","","","","","","","","","","","","","University Of Tasmania","","","In Copyright ; http://rightsstatements.org/vocab/InC/1.0/","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"APKC8VHQ","thesis","2547","วัลลภ อิ่มสุวรรณ, 2523-","อัตราส่วนของพลังงานต่อโปรตีนที่เหมาะสมในอาหารสำเร็จสำหรับหอยเป๋าฮื้อ Haliotis asinina Linnaeus ; Optimal energy to protein ratio of formulated diets for abalone Haliotis asinina Linnaeus","","","","","http://cuir.car.chula.ac.th/handle/123456789/4007","","2547","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","จุฬาลงกรณ์มหาวิทยาลัย","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QG78RX8","thesis","2007","周立強; Jou, Li-John","以亞洲蜆為基礎之動態生物感測器即時監測水域金屬 ; Asiatic clam (Corbicula fluminea)–based dynamic biosensor for real-time in situ monitoring waterborne metals","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/55953","","2007","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F3YURI8X","thesis","2005","凌明沛; Ling, Min-Pei","以生物為基礎之整合架構研析水域生態系金屬生物累積及人體健康風險 ; A Biologically-Based Integrated Framework to Assess Metals Bioaccumulation in Aquatic Ecosystems and Human Health Risks","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56134","","2005","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MXP7I82P","thesis","2005","蔡正偉; Tsai, Jeng-Wei","以生物能量及生理為基礎之觀點探討砷毒性對 吳郭魚之毒理動力/動態及作用模態 ; Bioenergetics- and Physiologically-Based Toxicokinetics/Toxicodynamics and Mode of Action of Arsenic Toxicity to Tilapia Oreochromis mossambicus","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56068","","2005","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXK9PPN8","thesis","","涂日炜","皱纹盘鲍对水相和食物相铜和锌的生物累积 ; Bioaccumulation of Haliotis discus hannai to waterborne and dietary copper and zinc","","","","","http://dspace.xmu.edu.cn/handle/2288/53107","","16:39:47.0","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y22IJMCJ","thesis","2004","黃鳳美; Huang, Feng-Mei","食用烏腳病地區魚貝類對人體物種砷暴露之風險評估 ; Risk Assessment of human arsenic species exposure through consumption of farmed fish/bivalves in blackfoot disease area","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56069","","2004","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHHTYENS","document","2023","Lleonart, Mark","A gonad conditioning study of the greenlip abalone (Haliotis laevigata) ...","","","","","https://dx.doi.org/10.25959/23231642","The Australian greenlip abalone Haliotis laeviqata is of commercial importance in the abalone diving industry. The species is also believed to have culture potential and accordingly control over reproduction is considered valuable. The major purpose of the study was to accelerate gonad development resulting in spawning outside the natural spawning season. Abalone were collected from Franklin sound in the Furneaux group of islands off the north-east tip of Tasmania. The important features of the conditioning tank were elevated water temperature, the provision of water movement within the tank to distribute feed to sedentary abalone and a diet of preferred red algae. Animals collected on 27 April 1990 were induced to spawn on 21 August 1990, 112 days or 1750 degree days following commencement of gonad conditioning. The natural spawning season of the source population was found to be November to March. A variety of methods for measuring reproductive development of abalone were used. This allowed the utility of ...","2023","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","University Of Tasmania","","","In Copyright ; http://rightsstatements.org/vocab/InC/1.0/","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2MD8MGC","thesis","1998","Taylor, Barbara Elan","Protein utilization, hormone treatment and nutrient metabolism as they apply to culture of abalone Haliotis kamtschatkana","","","","","http://hdl.handle.net/2429/8611","","1998","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NHCE36DA","thesis","2014","Kyle, Rory James","The abundance, diet and ecology of Astrostole Scabra within the East Otago Taiapure. Implications for the management of Haliotis iris populations","","","","","http://hdl.handle.net/10523/5095","","2014-10-30","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","University of Otago","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42KEBN55","thesis","2014","Rousseau, Le-daan Rheeder","The effects of dietary lipids and antioxidants on growth performance, meat quality and moisture loss of the South African abalone, Haliotis Midae","","","","","https://hdl.handle.net/10019.1/86753","","2014-12","2025-10-09 23:52:36","2025-10-09 23:52:36","","","","","","","","","","","","","Stellenbosch : Stellenbosch University","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z329DFMM","thesis","2004","黃鳳美; Huang, Feng-Mei","食用烏腳病地區魚貝類對人體物種砷暴露之風險評估 ; Risk Assessment of human arsenic species exposure through consumption of farmed fish/bivalves in blackfoot disease area","","","","","http://ntur.lib.ntu.edu.tw/handle/246246/56069","","2004","2025-10-09 23:52:44","2025-10-09 23:52:44","","","","","","","","","","","","","","","","","","","","COinS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
