Authors,Author.full.names,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,DOI,Link,Abstract,Open.Access,Source,EID
"L.J., Hernández-Benítez, L. Joshua; M.A., Ramírez-Rodríguez, Miguel A.; A., Hernández-Santoyo, Alejandra; A., Rodriguez-Romero, Adela","Hernández-Benítez, L. Joshua (57202254842); Ramírez-Rodríguez, Miguel A. (58993875700); Hernández-Santoyo, Alejandra (6506066447); Rodriguez-Romero, Adela (6701310790)",A trimeric glycosylated GH45 cellulase from the red abalone (Haliotis rufescens) exhibits endo and exoactivity,2024,PLOS ONE,19,4-Apr,e0301604,,,10.1371/journal.pone.0301604,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190856545&doi=10.1371%2Fjournal.pone.0301604&partnerID=40&md5=b80a98a9524e01285abaf32f68381e5f,"The red abalone (Haliotis rufescens) represents North America's most important aquaculture species. Its hepatopancreas is rich in cellulases and other polysaccharide-degrading enzymes, which provide it the remarkable ability to digest cellulose-rich macroalgae; nevertheless, its cellulolytic systems are poorly explored. This manuscript describes some functional and structural properties of an endogenous trimeric glycosylated endoglucanase from H. rufescens. The purified enzyme showed a molecular mass of 23.4 kDa determined by MALDI-TOF mass spectrometry, which behaved as a homotrimer in gel filtration chromatography and zymograms. According to the periodic acid-Schiff reagent staining, detecting sugar moieties in SDS-PAGE gel confirmed that abalone cellulase is a glycoprotein. Hydrolysis of cello-oligosaccharides and p-nitrophenyl-β-D-glucopyranosides confirmed its endo/ exoactivity. A maximum enzyme activity toward 0.5% (w/v) carboxymethylcellulose of 53.9 ± 1.0 U/mg was achieved at 45°C and pH 6.0. We elucidated the abalone cellulase primary structure using proteases and mass spectrometry methods. Based on these results and using a bioinformatic approach, we identified the gene encoding this enzyme and deduced its full-length amino acid sequence; the mature protein comprised 177 residues with a calculated molecular mass of 19.1 kDa and, according to sequence similarity, it was classified into the glycosyl-hydrolase family 45 subfamily B. An AlphaFold theoretical model and docking simulations with cellopentaose confirmed that abalone cellulase is a β-sheet rich protein, as also observed by circular dichroism experiments, with conserved catalytic residues: Asp26, Asn109, and Asp134. Interestingly, the AlphaFold-Multimer analysis indicated a trimeric assembly for abalone cellulase, which supported our experimental findings. The discovery and characterization of these enzymes may contribute to developing efficient cellulose bioconversion processes for biofuels and sustainable bioproducts. © 2024 Elsevier B.V., All rights reserved.",All Open Access; Gold Open Access; Green Final Open Access; Green Open Access,Scopus,2-s2.0-85190856545
"J.S., Copedo, Joanna S.; S.C., Webb, Stephen C.; N.L., Ragg, Norman L.C.; L., Venter, Leonie; A.C., Alfaro, Andrea C.","Copedo, Joanna S. (57218858039); Webb, Stephen C. (55329856400); Ragg, Norman L.C. (9842834400); Venter, Leonie (56183477300); Alfaro, Andrea C. (7005033533)",Histopathological investigation of four populations of abalone (Haliotis iris) exhibiting divergent growth performance,2024,Journal of Invertebrate Pathology,202,,108042,,,10.1016/j.jip.2023.108042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180578766&doi=10.1016%2Fj.jip.2023.108042&partnerID=40&md5=03f48608d09f335482e3b0806bdea7f5,"The black-foot abalone (pāua), Haliotis iris, is a unique and valuable species to New Zealand with cultural importance for Māori. Abalone are marine gastropods that can display a high level of phenotypic variation, including slow-growing or ‘stunted’ variants. This investigation focused on identifying factors that are associated with growth performance, with particular interest in the slow-growing variants. Tissue alterations in H. iris were examined using histopathological techniques, in relation to growth performance, contrasting populations classified by commercial harvesters as ‘stunted’ (i.e., slow-growing) and ‘non-stunted’ (i.e., fast-growing) from four sites around the Chatham Islands (New Zealand). Ten adults and 10 sub-adults were collected from each of the four sites and prepared for histological assessment of condition, tissue alterations, presence of food and presence of parasites. The gut epithelium connective tissue, digestive gland, gill lamellae and right kidney tissues all displayed signs of structural differences between the slow-growing and fast-growing populations. Overall, several factors appear to be correlated to growth performance. The individuals from slow-growing populations were observed to have more degraded macroalgal fragments in the midgut, increased numbers of ceroid granules in multiple tissues, as well as increased prevalence of birefringent mineral crystals and haplosporidian-like parasites in the right kidney. The histopathological approaches presented here complement anecdotal field observations of reduced seaweed availability and increased sand incursion at slow-growing sites, while providing an insight into the health of individual abalone and sub-populations. The approaches described here will ultimately help elucidate the drivers behind variable growth performance which, in turn, supports fisheries management decisions and future surveillance programs. © 2023 Elsevier B.V., All rights reserved.",All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85180578766
"Y., Li, Yue; M., Tian, Miao; Y., Jiang, Yawen; X., Wang, Xuan; R., Li, Rongmao; J., Mu, Jingli; Y., Huang, Yaling","Li, Yue (57935406900); Tian, Miao (59785148000); Jiang, Yawen (59210660100); Wang, Xuan (59466338900); Li, Rongmao (59098854500); Mu, Jingli (12794529200); Huang, Yaling (50361179200)","Nitrogen and Phosphorus Discharge Flux into the Sea and Pollution Source Structure in Sansha Bay, Fujian Province",2024,Journal of Ecology and Rural Environment,40,11,,1514,1523,10.19741/j.issn.1673-4831.2023.0977,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211595779&doi=10.19741%2Fj.issn.1673-4831.2023.0977&partnerID=40&md5=6eb08eb8bc595a7e1ae583582f2184b2,"It is concerning that, in recent years, there has been no appreciable improvement in the quality of seawater in Sansha Bay. A better understanding of the pollution sources of the coastal areas is essential for developing comprehensive ecological environment management approaches for Sansha Bay. Based on land use data, socialeconomic statistics and pollution source investigation data, the pollutant discharge coefficient method was used to evaluate the total nitrogen and total phosphorus fluxes into Sansha Bay, the largest bay in Fujian Province. A comprehensive and systematic analysis was conducted to investigate the composition and distribution of the pollutants. The results show that the net total nitrogen and total phosphorus fluxes produced by land-based sources (including industrial production, residents' living, cultivation, livestock and poultry breeding, and land-based fish farming) and sea-based pollution sources (including tidal flat aquaculture, raft culture, and cage culture) in 2020 were 238 and 622 tons, respectively. The primary source of the total nitrogen and total phosphorus was land-based pollution, with fluxes of 2 564 and 352 tons, respectively. The fluxes of total nitrogen and total phosphorus from the primary sea-based pollution sources were -2 326 and 270 tons, respectively. Cultivation was the dominant land-based source of pollution, accounting for 46.4% and 41.4% of the total nitrogen and total phosphorus fluxes, respectively. Notable heterogeneity was observed in the total nitrogen and total phosphorus fluxes across the watersheds. The Jiaoxi Watershed, with the largest watershed area, was responsible for the greatest proportion of land-based pollutant fluxes. Feed-based aquaculture (such as fish, abalone, and sea cucumber feeding) was the main sea-based pollution source, whereas the non-feeding shellfish and macroalgae can assist in the assimilation of the nitrogen and phosphorus nutrients. © 2024 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85211595779
"L., Li, Leibin; K., Qiao, Kun; J., Qi, Jianfei; P., Wen, Ping; M., Fang, Minjie; S., Guo, Shaopeng; Z., Liu, Zhiyu; Q., Lin, Qi; Q., Zeng, Qingmin","Li, Leibin (59796077300); Qiao, Kun (6701672305); Qi, Jianfei (58922577000); Wen, Ping (59462992700); Fang, Minjie (58937847300); Guo, Shaopeng (59305214200); Liu, Zhiyu (57578804400); Lin, Qi (56042738700); Zeng, Qingmin (57940323100)","Effects of two processing methods of Sesuvium portulacastrum diet on culture performance, nutrient composition, and muscle texture properties of Haliotis discus hannai; 两种加工方式的海马齿饵料对皱纹盘鲍生产性能、肌肉营养及质构特性的影响",2024,Journal of Fishery Sciences of China,31,9,,1090,1104,10.12264/JFSC2024-0100,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211355943&doi=10.12264%2FJFSC2024-0100&partnerID=40&md5=74b3d71e664ca6221ca8f550070b9b03,"The increase in feed costs has significantly impacted the sustainable development of the Chinese abalone industry. The halophyte sea purslane (Sesuvium portulacastrum) is nutritionally valuable and shows potential as a novel bait source for abalone. We analyzed the nutrient composition of blanched and salted sea purslane to assess the value of sea purslane as abalone feed. Subsequently, blanched and salted sea purslane were separately used as the sole feed for Pacific abalone (Haliotis discus hannai) with the same specifications in each group (shell length: 5.161±0.315 cm, body weight: 16.90±3.07 g). The red alga Gracilaria lemaneiformis served as the control feed. The abalone were feed once every 4 days over an 80-day culture cycle, with sufficient feed dispensed each time to ensure the provision of adequate feed and the generation of leftovers. There were four main findings. First, moisture, energy, crude protein (dry basis), crude fat, carbohydrate, and ash contents were (89.08± 0.01)%, (103.44±0.15) kJ/100 g, (12.49±0.28)%, (2.93±0.06)%, (20.34±0.28)%, and (29.10±0.08)%, respectively, for blanched sea purslane and (59.37±0.04)%, (139.38±0.79) kJ/100 g, (4.16±0.08)%, (1.25±0.01)%, (5.74±0.18)%, and (72.80±0.05)%, respectively, for salted sea purslane. Both types of sea purslane feed contained 18 amino acids, indicating a comprehensive amino acid profile that was relatively close to that of Pacific abalone muscle in terms of the presence of 11 important amino acids. Second, the two types of sea purslane feed significantly influenced the feed intake (FI) and feed conversion ratio (FCR) of Pacific abalone (P<0.05). The FI and FCR were highest in abalone that fed on salted sea purslane and lowest in abalone that fed on G. lemaneiformis. Neither type of sea purslane feed significantly influenced the survival rate, average daily shell length gain, average daily body weight gain, specific growth rate of shell length, specific growth rate of body weight, condition factor, or meat yield of Pacific abalone (P>0.05). Third, both types of sea purslane feed significantly increased the ash content and reduced the moisture, collagen, and total amino acid contents of Pacific abalone muscle (P<0.05); however, they did not significantly influence the crude fat content, essential amino acids/total amino acids ratio, first limiting amino acid content(P>0.05). The sea purslane feed could increase the linoleic acid and α-linolenic contents of Pacific abalone muscle. Fourth, there were no significant differences in the influence of the two types of sea purslane feed on the springiness and resilience of Pacific abalone muscle tissue (P>0.05). However, blanched sea purslane significantly reduced the hardness and chewiness of the muscle tissue (P<0.05), while salted sea purslane significantly increased the hardness of the muscle tissue (P<0.05). In conclusion, both types of sea purslane feed can replace G. lemaneiformis as feed for Pacific abalone within an 80-day culture cycle. Pacific abalone fed with sea purslane had good production performance and nutritional value, with salted purslane contributing to improved abalone muscle texture. © 2024 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85211355943
"W., Chen, Wenkang; Y., Zhang, Yingying; J., Lu, Jun; N., Xu, Nianjun; X., Sun, Xue","Chen, Wenkang (58645132300); Zhang, Yingying (57211359597); Lu, Jun (59815603100); Xu, Nianjun (7202694785); Sun, Xue (35211850800)",Effects of trehalose on the physiological parameters and gene expression of high-temperature stressed Gracilariopsis lemaneiformis; 海藻糖对高温胁迫龙须菜的生理及基因表达的影响,2024,Journal of Fisheries of China,48,6,69605,,,10.11964/jfc.20220413461,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198381388&doi=10.11964%2Fjfc.20220413461&partnerID=40&md5=5edb283482f6fe1fa416e2f2d7692f70,"Gracilariopsis lemaneiformis is a kind of cultivated seaweed with the second highest production in China, which is mainly used to feed abalone and extract agar, but its yield and cultivated period are limited due to the high temperature of the summer in the southern coast. As a signaling molecule, non-reducing disaccharide trehalose plays an important role in enduring high temperature, drought and other adverse stresses. To explore the role and mechanism of trehalose in the stress resistance of G. lemaneiformis, this paper investigated the effects of exogenous trehalose on the growth, stress resistance-related substances, metabolic enzymes, endogenous salicylic acid and related genes under high temperature stress using physiological and biochemical test, HPLC-MS/MS and real-time fluorescent quantitative PCR (qRT-PCR). The results showed that application of 10 mmol/L trehalose promoted the algal growth and proline content of G. lemaneiformis with 0.34-fold (3 d) and 0.30-fold increases (24 h) compared to the control, respectively. Meanwhile, trehalose significantly activated the chlorophyll fluorescence parameters and the activities of superoxide dismutase and trehalose-6-phosphate synthase, but malonaldehyde content and lipoxidase (LOX) activity were reduced. Moreover, trehalose significantly stimulated the activity and gene expression of isochorismate synthase, the key enzyme in salicylic acid biosynthesis, and the accumulation of salicylic acid (2.05-fold). Finally, supplementation with trehalose could maintain the stable increase of the gene expression level of heat shock protein 70, while the lox2 gene expression was downregulated at 12 h. All of these results revealed that trehalose could promote algal growth through scavenging the reactive oxygen species, alleviating the lipid peroxidation of the cell membrane, enhancing the accumulation of osmolytes and phytohormones and so on. This study verifies that exogenous trehalose plays a vital role in resisting high temperature, which will provide a reference for future breeding efforts to improve the stress resistance of G. lemaneiformis. © 2024 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85198381388
"X., Ying, Xiao; W., Chen, Wenkang; Q., Chen, Qionglin; X., Zhang, Xiaoqian; N., Xu, Nianjun; X., Sun, Xue","Ying, Xiao (58315104700); Chen, Wenkang (58645132300); Chen, Qionglin (57194828442); Zhang, Xiaoqian (56996954700); Xu, Nianjun (7202694785); Sun, Xue (35211850800)",Differences between the wild-type and cultivated Gracilariopsis lemaneiformis revealed by quantitative proteome and gene expression profiling analysis,2023,Botanica Marina,66,5,,437,451,10.1515/bot-2023-0012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174039296&doi=10.1515%2Fbot-2023-0012&partnerID=40&md5=38ea3406f5370de3e43358a0d77b2dc2,"The seaweed Gracilariopsis lemaneiformis is widely cultivated in the southern and northern coasts of China, and is mainly used for agar extraction and abalone feed. The cultivated strain of G. lemaneiformis 981 has various advantages over the wild type such as growth rate and high-temperature tolerance. Therefore, it is necessary to investigate the differences between the wild-type and cultivated G. lemaneiformis. Here, 648 up-regulated and 837 down-regulated proteins were screened using the isobaric tags for relative and absolute quantitation (iTRAQ) technique, and these differentially expressed proteins (DEPs) were concentrated in the pathways including ""Ribosome"", ""Photosynthesis-antenna proteins"", ""alpha-Linolenic acid metabolism"", and ""Phenylpropanoid biosynthesis"". The most prominent pathway was ""Ribosome"", namely, 116 out of 119 ribosome-associated proteins were up-regulated in G. lemaneiformis 981 compared to the wild type. Subsequently, multiple reaction monitoring (MRM) validated the credibility of the iTRAQ results. Finally, ""Phenylpropanoid biosynthesis""and ""Photosynthesis-antenna proteins""pathways were also found to be significantly changed in G. lemaneiformis 981 validated by gene expression profiling analysis. Altogether, these results, in combination with chlorophyll fluorescence parameters, unveiled the possible mechanism of differences in growth and anti-abiotic stresses between the wild-type and cultivated G. lemaneiformis, which would provide a reference for breeding of excellent seaweeds. © 2023 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85174039296
"M.Á., Villa-Arce, Miguel Ángel; M., Muñoz-Ochoa, Mauricio; G., Hernandez-Carmona, Gustavo; M., Mendoza-Cruz, Margarita; C.A., Godínez-Pérez, Carlos Alonso; N., Velez-Arellano, Nurenskaya","Villa-Arce, Miguel Ángel (57222990123); Muñoz-Ochoa, Mauricio (22954223500); Hernandez-Carmona, Gustavo (6601979587); Mendoza-Cruz, Margarita (58202033200); Godínez-Pérez, Carlos Alonso (57192928780); Velez-Arellano, Nurenskaya (36601905300)",Formulated algae-based feed with low polyphenol content and its effect on the feeding preference of juvenile blue abalone Haliotis fulgens,2023,Journal of Applied Phycology,35,5,,2485,2493,10.1007/s10811-023-03025-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163572728&doi=10.1007%2Fs10811-023-03025-9&partnerID=40&md5=26eedb67eef52622aff0a9b46d831359,"This study evaluated the effect of polyphenol reduction in a feed formulated with Eisenia arborea and its effect on the feeding preference of the abalone Haliotis fulgens through multiple selection tests. Two feeds were formulated: one without polyphenol reduction (EA01) and one with polyphenol reduction (EA02). Rehydrated E. arborea (ER03) was used as the control feed. The polyphenol content was quantified in EA01 and EA02, and the stability and hardness of all three feeds were measured at 24 h after immersion. Feed preference was evaluated through attraction and consumption tests on day 1, 6, and 12. The polyphenol concentration was reduced by 41% in EA02 (13.9 mg GAE g−1) compared to that of EA01 (33.3 mg GAE g−1). Both formulated feeds showed 88% stability and hardness values > 680 g cm−2, which were greater than those of the control (ER03, 66% and 285 g cm−2, respectively). Abalone were more attracted to EA02 and ER03 on day 1, 6, and 12 than to EA01 on the same days. A similar trend was observed with consumption. EA02 and ER03 were the most consumed feeds (> 6 g day−1) throughout the experiment, and no significant differences in consumption were observed between these feeds. On the other hand, juvenile H. fulgens showed a greater attraction to and consumption of EA02 (reduced polyphenol content) than EA01 (no reduction in polyphenol content). This allows us to conclude that EA02 can replace rehydrated algae as a suitable feed source for juvenile H. fulgens. © 2023 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85163572728
"Y., Ke, Yizhou; W., Zeng, Wencui; X., Gao, Xiaolong; M., Cai, Mingyi; W., You, Weiwei","Ke, Yizhou (56810395500); Zeng, Wencui (57210150257); Gao, Xiaolong (56984783000); Cai, Mingyi (22957024100); You, Weiwei (37054883300)",Investigating the Genetic and Dietary Factors Influencing Foot Muscle Color and Growth in Haliotis gigantea,2023,Fishes,8,9,443,,,10.3390/fishes8090443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172184030&doi=10.3390%2Ffishes8090443&partnerID=40&md5=7a3298eb6fe0cc2407d80b8653e73983,"Haliotis gigantea, a commercially cultivated abalone in China, predominantly displays the pale-yellow-footed trait. However, a limited occurrence of the orange-footed muscle trait makes it a valuable candidate for breeding programs. In our research, we examined the inheritance pattern of the orange-footed trait and conducted a 90-day feeding trial for H. gigantea to compare the influence of formulated feed and macroalgae on pigment enrichment and growth rates. Our results suggest that the orange-footed trait has a recessive nature relative to its common counterpart and demonstrates stable inheritance. We also identified a significant correlation between color-difference values (a*) and total carotenoid content (TCC) (R2 = 0.955, p < 0.05), suggesting the TCC in abalone foot muscle can be estimated using the a* value. Furthermore, introducing carotenoids to formulated feed imparts an orange hue to the foot muscle, but this effect is inferior compared to using Gracilariopsis lemaneiformis with a similar carotenoid content. This suggests that H. gigantea has a higher absorption efficiency for the carotenoids from the macroalgae G. lemaneiformis compared to formulated feed. Growth assessments indicate that the formulated feed, enriched with higher crude protein than G. lemaneiformis, optimally supports H. gigantea growth. Our findings furnish valuable insights that could steer breeding strategies and feeding practices towards achieving the orange-footed muscle trait in H. gigantea. © 2024 Elsevier B.V., All rights reserved.",All Open Access; Gold Open Access,Scopus,2-s2.0-85172184030
"R., Li, Ran; Q., Dai, Qihu; S.H., Cho, Sung Hwoan","Li, Ran (58030201800); Dai, Qihu (57226443082); Cho, Sung Hwoan (36088867600)","Substitution effect of broccoli (Brassica oleracea var. italica) by-product for Saccharina japonica in feeds on growth, carcass chemical composition, and air exposure resistance of abalone (Haliotis discus, Reeve 1846)",2023,Journal of the World Aquaculture Society,54,4,,882,898,10.1111/jwas.12953,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150304348&doi=10.1111%2Fjwas.12953&partnerID=40&md5=0b6e2feaf2f4af50a1e906218c0b32c4,"Substitutability of broccoli by-products (BBP) for Saccharina japonica in feed on growth, carcass chemical composition, and air exposure resistance of abalone (Haliotis discus) was investigated. One thousand and two hundred sixty abalones were randomly assigned into 18 cages (3 cages/diet; 70 abalone/cage). Two hundred g/kg of S. japonica was included in the control diet (BBP0). The BBP250, BBP500, BBP750, and BBP1000 diets were prepared by substituting 250, 500, 750, and 1000 g/kg of S. japonica with an equal amount of BBP. Additionally, dry S. japonica was prepared. Abalone were fed daily for 7 days a week for 16 weeks. Following the completion of the feeding trial, 20 abalone from each cage were exposed to air for 20 h prior to being monitored for the following 5 days. The greatest weight gain and specific growth rate (SGR) were achieved in abalone fed the BBP250 diet. Superior survival was obtained in abalone fed the BBP250, BBP500, BBP750, and BBP1000 diets to abalone fed the S. japonica control diet. The BBP250 and BBP500 diets achieved the highest survival of abalone. BBP appears to be a novel replacer for S. japonica in abalone diets, and 250 g/kg replacement of BBP for S. japonica produced the best weight gain and SGR. © 2023 Elsevier B.V., All rights reserved.",All Open Access; Gold Open Access,Scopus,2-s2.0-85150304348
"H., Lin, Hongyue; Y., Qian, Yiyang; J., Chen, Jia; X., Gao, Xiaolong; M., Zhang, Mo; W., You, Weiwei; R., Zhang, Rongxin","Lin, Hongyue (57211268388); Qian, Yiyang (58248937900); Chen, Jia (57899400000); Gao, Xiaolong (56984783000); Zhang, Mo (56984554900); You, Weiwei (37054883300); Zhang, Rongxin (57192258117)",Acoustic Characterization for The Feeding Activities of Haliotis discus Hannai,2023,Applied Sciences (Switzerland),13,9,5559,,,10.3390/app13095559,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159290038&doi=10.3390%2Fapp13095559&partnerID=40&md5=f517607f15964672bae5da8a92a0efe9,"In order to analyze the sound production mechanism and the acoustic characteristics of Haliotis discus hannai during feeding, this paper proposes a multi-source information fusion approach combining passive acoustics with videos. In the experiments, abalones with a shell length of 60 ± 2.7 mm were divided into two groups: Group A was fed with fresh macro algae Gracilaria lemaneiformis as food once each day; Group B was placed on a small amount of sand as impurities at the bottom of the tank. As control groups, Group C did not have abalone or food and Group D did not have abalones but food was added. The eating acoustic signals of abalone were mainly concentrated in the frequency range between 9.49 kHz and 44.36 kHz, wherein the peak frequency is 37.86 ± 2.55 kHz, with the maximum energy −66.43 ± 5.17 dBm/Hz. Each pulse sequence is with a duration of 119.12 ± 70.51 ms and consists of several sub-pulses. Nearly 70% of the pulse sequences consist of 1~2 sub-pulses and the duration of the pulse containing one sub-pulse is 42.62 ± 19.72 ms. The eating rate was kept at 0.61 ± 0.04 times/min at the beginning and was decreased significantly to 0.48 ± 0.08 times/min after 60 min. Note that the characteristic analysis of abalone acoustic signals during feeding are first reported in this manuscript to the best of our knowledge, and this paper also demonstrates that the sound of abalone is produced by scraping and grinding food with radula. Because the eating rate decreases with the reduction in the abalone’s level of hunger, the results may be used as an acoustic indicator of feeding strategy for the abalone aquaculture industry. © 2023 Elsevier B.V., All rights reserved.",All Open Access; Gold Open Access,Scopus,2-s2.0-85159290038
"A., Levallois, Alexandre; L., Nivelais, Laureen; C., Caplat, Christelle; J.M., Lebel, Jean Marc; O., Basuyaux, Olivier; K., Costil, Katherine; A., Serpentini, Antoine","Levallois, Alexandre (57763365800); Nivelais, Laureen (58029149300); Caplat, Christelle (13607333800); Lebel, Jean Marc (7006938604); Basuyaux, Olivier (6602957162); Costil, Katherine (6603026854); Serpentini, Antoine (22952021400)",Impact assessment of metals realeased by aluminium-based galvanic anode on the physiology of the abalone Haliotis tuberculata in controlled conditions,2023,Ecotoxicology,32,4,,438,450,10.1007/s10646-023-02652-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152644470&doi=10.1007%2Fs10646-023-02652-9&partnerID=40&md5=4119839637c5c8975c203496405469d6,"To protect metal structures immersed in the sea from corrosion, the galvanic anode cathodic protection system (GACP) is often applied. However, this association leads to continuous oxidation of the galvanic anode and therefore to a release of a metal cocktail in the forms of ions or oxy-hydroxides. Therefore, the main objective of our study was to investigate the toxicity of elements released from the dissolution of an aluminium-based galvanic anode (∼95% Al, ∼5% Zn, <0.1% for In, Cu, Cd, Mn, Fe) on a grazing gastropod, the abalone Haliotis tuberculata. The present study was carried out in complement to other research currently in submission. Gastropods were exposed for 16 weeks (12 weeks of exposure and 4 weeks of decontamination phase) to 6 conditions including a control, 4 concentrations based on total aluminium level (86, 425, 1096 and 3549 µg L−1) and a trophic control, corresponding to abalones placed in non-contaminated natural seawater but fed with contaminated algae. The effects of metals on growth, glycogen levels, brix index of hemolymph, MDA levels in digestive gland and gills, hemocyte phagocytic activity, ROS production, lysosomal system and the progress of gametogenesis were investigated throughout the entire exposure allowing the realization of kinetics. The results revealed that the aluminium-based anode does not seem to have an effect on the health status of the individuals for environmentally realistic concentrations. However, in extreme conditions strong effects were reported on the growth, immune system and reproduction of abalone. © 2023 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85152644470
"Y., Inohara, Yutaro; C., Jiang, Chunqi; S., Mino, Sayaka; T., Sawabe, Tomoo","Inohara, Yutaro (58154793800); Jiang, Chunqi (57212496435); Mino, Sayaka (54879537400); Sawabe, Tomoo (7005210845)","A First Marine Vibrio Biocatalyst to Produce Ethanol from Alginate, which is a Rich Polysaccharide in Brown Macroalgal Biomass",2023,Current Microbiology,80,5,143,,,10.1007/s00284-023-03250-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150751045&doi=10.1007%2Fs00284-023-03250-y&partnerID=40&md5=0ba2361e2b3a95ae3336e9ccf724ac73,"The use of un-utilized feedstock and seawater for material and/or energy production using marine microbial catalysts is one potential option toward contributing to the development of a more sustainable society. Ethanol production from alginate, which is an oxidized polysaccharide present in brown seaweed, is extremely difficult due to the imbalance of reducing power in the microbial cells. Production of ethanol by such means has so far been unsuccessful using marine microbial biocatalysts. To produce ethanol from alginate, an alternative pathway consisting of a pyruvate decarboxylase gene (pdc) and an alcohol dehydrogenase II gene (adhII) derived from Zymomonas mobilis strain ZM4 was implemented into a metabolically engineered bacterium, Vibrio halioticoli, which is a representative marine alginate decomposer. No ethanol from alginate was produced in the wild-type V. halioticoli; however, the engineered V. halioticoli harboring the pdc and adhII operon (Pet operon), designated to the V. halioticoli (Pet), was able to produce 880 mg/L ethanol in maximum from 1.5% alginate for 72 h. The Pet operon also worked on the other marine alginolytic vibrios for ethanol production from alginate. This is the first case of ethanol production from alginate using marine bacterial biocatalysts under seawater-based media. © 2023 Elsevier B.V., All rights reserved.",,Scopus,2-s2.0-85150751045
"F., Cicala, Francesco; M.A., Tripp-Valdez, Miguel A.; V., Montes-Orozco, Vincent; G.S., Cervantes-Vazquez, Gesem S.; F., Lafarga-de la Cruz, Fabiola","Cicala, Francesco (57193423506); Tripp-Valdez, Miguel A. (36348852300); Montes-Orozco, Vincent (58193114600); Cervantes-Vazquez, Gesem S. (58193480500); Lafarga-de la Cruz, Fabiola (56013688800)",Effects of six diets on the growth and survival rates of postlarvae of red abalone (Haliotis rufescens) and its hybrid (H. rufescens ♀ × H. fulgens ♂); Efecto de seis dietas en el crecimiento y supervivencia de poslarvas de abulón rojo (Haliotis rufescens) y su híbrido (H. rufescens ♀ × H. fulgens ♂),2023,Scientia Marina,87,1,e055,,,10.3989/scimar.05300.055,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153335415&doi=10.3989%2Fscimar.05300.055&partnerID=40&md5=2ae7026aa637eb7927292ce252e0a01d,"One of the main bottlenecks in abalone aquaculture is maintaining individuals during the weaning stage, when the natural diet changes from diatoms (postlarvae) to macroalgae (juvenile). During this period, abalone pass through profound morphological and physiological changes, which suitable nutrient requirements must sustain. An inadequate diet can result in adverse effects such as late metamorphosis, starvation, slow growth and even death during this phase. Two strategies have been proposed to increase the growth and survival rates of weaning abalone: (i) extending feeding with benthic diatoms and (ii) abalone hybridization via interspecific crosses. To evaluate the efficiency of the two strategies, we assessed the growth and survival rates of postlarvae of pure red abalone (Haliotis rufescens) and a hybrid obtained by crossing red abalone females with green abalone (H. fulgens) males. Both crosses were supplied with six different diets consisting of either one macroalgae mono-diet (Macrocystis pyrifera or Ulva ohnoi) or a mixture with Navicula incerta. Overall, cross-specific diets achieved better growth rates, suggesting that each cross may need specific food items (nutrients) during weaning. Moreover, pure red abalone generally showed the highest growth rates, while the hybrid abalone showed the highest survival rates with most tested diets. Hence, hybrids appear to be better at withstanding stressful con-ditions, and their use in aquaculture could reduce losses and increase commercial production. © 2023 Elsevier B.V., All rights reserved.",All Open Access; Gold Open Access,Scopus,2-s2.0-85153335415
